"","name","gender","count","year","rank"
"1","Mary","F",51479,1960,1
"2","Susan","F",39198,1960,2
"3","Linda","F",37315,1960,3
"4","Karen","F",36385,1960,4
"5","Donna","F",34132,1960,5
"6","Lisa","F",33705,1960,6
"7","Patricia","F",32102,1960,7
"8","Debra","F",26738,1960,8
"9","Cynthia","F",26724,1960,9
"10","Deborah","F",25271,1960,10
"11","Sandra","F",24573,1960,11
"12","Barbara","F",24443,1960,12
"13","Brenda","F",23956,1960,13
"14","Pamela","F",22098,1960,14
"15","Nancy","F",21899,1960,15
"16","Sharon","F",20427,1960,16
"17","Cheryl","F",19125,1960,17
"18","Elizabeth","F",18856,1960,18
"19","Teresa","F",18833,1960,19
"20","Lori","F",18686,1960,20
"21","Mary","F",47660,1961,1
"22","Lisa","F",42693,1961,2
"23","Susan","F",37521,1961,3
"24","Linda","F",35572,1961,4
"25","Karen","F",34688,1961,5
"26","Patricia","F",28860,1961,6
"27","Donna","F",28667,1961,7
"28","Cynthia","F",24376,1961,8
"29","Sandra","F",24137,1961,9
"30","Deborah","F",24086,1961,10
"31","Brenda","F",23769,1961,11
"32","Barbara","F",22984,1961,12
"33","Debra","F",22150,1961,13
"34","Lori","F",21873,1961,14
"35","Pamela","F",21682,1961,15
"36","Nancy","F",20710,1961,16
"37","Sharon","F",20441,1961,17
"38","Teresa","F",18900,1961,18
"39","Elizabeth","F",18847,1961,19
"40","Cheryl","F",18289,1961,20
"41","Lisa","F",46085,1962,1
"42","Mary","F",43494,1962,2
"43","Susan","F",35746,1962,3
"44","Karen","F",35183,1962,4
"45","Linda","F",31462,1962,5
"46","Patricia","F",26540,1962,6
"47","Donna","F",25726,1962,7
"48","Cynthia","F",24018,1962,8
"49","Deborah","F",22892,1962,9
"50","Sandra","F",22415,1962,10
"51","Lori","F",22389,1962,11
"52","Pamela","F",21276,1962,12
"53","Brenda","F",21272,1962,13
"54","Barbara","F",20651,1962,14
"55","Debra","F",20603,1962,15
"56","Kimberly","F",20363,1962,16
"57","Sharon","F",19626,1962,17
"58","Teresa","F",18514,1962,18
"59","Nancy","F",18028,1962,19
"60","Elizabeth","F",17800,1962,20
"61","Lisa","F",56038,1963,1
"62","Mary","F",41550,1963,2
"63","Susan","F",33991,1963,3
"64","Karen","F",32484,1963,4
"65","Linda","F",27710,1963,5
"66","Donna","F",25396,1963,6
"67","Patricia","F",25357,1963,7
"68","Lori","F",23905,1963,8
"69","Sandra","F",21607,1963,9
"70","Cynthia","F",21591,1963,10
"71","Kimberly","F",21232,1963,11
"72","Tammy","F",21188,1963,12
"73","Deborah","F",21063,1963,13
"74","Pamela","F",20582,1963,14
"75","Brenda","F",19604,1963,15
"76","Laura","F",18507,1963,16
"77","Barbara","F",18286,1963,17
"78","Teresa","F",17966,1963,18
"79","Sharon","F",17797,1963,19
